"TARGSITEID","SITEID","SAMPLEID","HgCOMP","AREA_SQKM","SAMPLEID.MRG"
"TS0249",2007190354,2007190354001,4.5182,1676,"2007190354001"
"TS0255",2007190535,2007190535002,1.9629,4915,"2007190535002"
"TS0262",2007191472,2007191472001,19.3115,2767,"2007191472001"
"TS0262",2007191472,2007191472002,17.7677,2767,"2007191472002"
"TS0265",2007190829,2007190829002,10.7216,1408,"2007190829002"
"TS0265",2007190829,2007190829001,12.5737,1408,"2007190829001"
"TS0268",2007190904,2007190904001,22.10965,1477,"2007190904001"
"TS0268",2007190904,2007190904002,91.8277,1477,"2007190904002"
"TS0269",2007190310,2007190310001,8.7157,6807,"2007190310001"
"TS0269",2007190310,2007190310002,9.3365,6807,"2007190310002"
"TS0272",2007190066,2007190066001,16.9532,4929,"2007190066001"
"TS0272",2007190066,2007190066002,14.98435,4929,"2007190066002"
"TS0273",2007190050,2007190050001,11.946,5079,"2007190050001"
"TS0273",2007191481,2007191481002,17.8277,5079,"2007191481002"
"TS0273",2007190050,2007190050002,10.823,5079,"2007190050002"
"TS0273",2007191481,2007191481001,19.3704,5079,"2007191481001"
"TS0275",2007190315,2007190315001,11.0295,8489,"2007190315001"
"TS0275",2007190315,2007190315002,12.291,8489,"2007190315002"
"TS0277",2007190370,2007190370002,8.1636,10177,"2007190370002"
"TS0277",2007190370,2007190370001,10.6308,10177,"2007190370001"
"TS0278",2007190332,2007190332002,13.8571,1794,"2007190332002"
"TS0278",2007190332,2007190332001,13.4195,1794,"2007190332001"
"TS0279",2007190017,2007190017002,7.9443,6746,"2007190017002"
"TS0279",2007190017,2007190017001,13.50705,6746,"2007190017001"
"TS0280",2007190658,2007190658001,19.5393,5733,"2007190658001"
"TS0280",2007190658,2007190658002,16.56,5733,"2007190658002"
"TS0282",2007191436,2007191436001,22.3948,7129,"2007191436001"
"TS0282",2007190349,2007190349002,23.3142,7129,"2007190349002"
"TS0282",2007190349,2007190349001,20.5702,7129,"2007190349001"
"TS0282",2007191436,2007191436002,23.8824,7129,"2007191436002"
"TS0283",2007190267,2007190267001,26.6498,2038,"2007190267001"
"TS0283",2007190267,2007190267002,14.3759,2038,"2007190267002"
"TS0286",2007191468,2007191468001,22.9656,2284,"2007191468001"
"TS0286",2007191468,2007191468002,27.871,2284,"2007191468002"
"TS0287",2007190706,2007190706001,12.6294,4910,"2007190706001"
"TS0287",2007190706,2007190706002,12.0254,4910,"2007190706002"
"TS0288",2007190588,2007190588001,14.8916,2124,"2007190588001"
"TS0288",2007190588,2007190588002,9.3641,2124,"2007190588002"
"TS0289",2007190859,2007190859002,2.8058,1385,"2007190859002"
"TS0289",2007190859,2007190859001,3.2975,1385,"2007190859001"
"TS0290",2007190206,2007190206002,8.0709,6773,"2007190206002"
"TS0290",2007190206,2007190206001,15.7734,6773,"2007190206001"
"TS0295",2007190305,2007190305002,16.7338,5489,"2007190305002"
"TS0295",2007190305,2007190305001,20.5457,5489,"2007190305001"
"TS0298",2007190402,2007190402002,13.737,5659,"2007190402002"
"TS0298",2007190402,2007190402001,14.1083,5659,"2007190402001"
"TS0299",2007190386,2007190386002,13.4804,7700,"2007190386002"
"TS0299",2007190386,2007190386001,28.00455,7700,"2007190386001"
"TS0304",2007190076,2007190076001,20.9538,3192,"2007190076001"
"TS0304",2007190076,2007190076002,5.4472,3192,"2007190076002"
"TS0310",2007190048,2007190048002,24.8805,8099,"2007190048002"
"TS0310",2007190048,2007190048001,31.3126,8099,"2007190048001"
"TS0311",2007191415,2007191415001,13.5945,6623,"2007191415001"
"TS0311",2007191415,2007191415002,7.86325,6623,"2007191415002"
"TS0315",2007190528,2007190528001,10.88745,1499,"2007190528001"
"TS0319",2007190135,2007190135002,15.7581,5944,"2007190135002"
"TS0319",2007190135,2007190135001,27.7959,5944,"2007190135001"
"TS0321",2007190003,2007190003001,11.1196,6258,"2007190003001"
"TS0321",2007190213,2007190213001,9.6405,6258,"2007190213001"
"TS0321",2007190003,2007190003002,6.357,6258,"2007190003002"
"TS0321",2007190213,2007190213002,6.6763,6258,"2007190213002"
"TS0322",2007190634,2007190634001,22.8574,3993,"2007190634001"
"TS0326",2007191006,2007191006002,2.8079,6139,"2007191006002"
"TS0326",2007191006,2007191006001,9.398,6139,"2007191006001"
"TS0329",2007190339,2007190339001,9.35385,4981,"2007190339001"
"TS0329",2007190339,2007190339002,11.6589,4981,"2007190339002"
"TS0330",2007190836,2007190836002,13.008,5440,"2007190836002"
"TS0330",2007190836,2007190836001,14.7973,5440,"2007190836001"
"TS0331",2007191135,2007191135001,29.2193,4484,"2007191135001"
"TS0331",2007191135,2007191135002,21.5485,4484,"2007191135002"
"TS0332",2007191165,2007191165001,5.2975,1236,"2007191165001"
"TS0332",2007191165,2007191165002,3.3648,1236,"2007191165002"
"TS0334",2007190917,2007190917001,26.0023,5802,"2007190917001"
"TS0334",2007190917,2007190917002,16.66395,5802,"2007190917002"
"TS0336",2007191369,2007191369002,12.5773,4527,"2007191369002"
